p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	threshold
ANLN	8.49607388616364e-13	-0.978312410136912	0.044	0.092	1.53048274985352e-08	Myeloid cell	ANLN	Down
SMIM4	8.93494041273836e-13	-0.842526401550007	0.068	0.126	1.60954016595069e-08	Myeloid cell	SMIM4	Down
CCND2	9.20305342063279e-13	-0.636809279649254	0.072	0.132	1.65783804319279e-08	Myeloid cell	CCND2	Down
MAPKAPK2	9.65965324623098e-13	-0.491213806466687	0.198	0.289	1.74008993577605e-08	Myeloid cell	MAPKAPK2	Down
AKR1B1	9.98429084909619e-13	-1.05076325379855	0.049	0.1	1.79857015355619e-08	Myeloid cell	AKR1B1	Down
CCL23	1.02502842667803e-12	2.12926321724771	0.067	0.017	1.84648620781781e-08	Myeloid cell	CCL23	Up
E2F8	1.02938831227145e-12	-1.92963047180586	0.011	0.038	1.85434010572579e-08	Myeloid cell	E2F8	Down
GK	1.07703010394443e-12	-1.28307099439073	0.035	0.079	1.9401620292455e-08	Myeloid cell	GK	Down
NDC80	1.09073192140948e-12	-1.2502523691926	0.027	0.066	1.96484448322704e-08	Myeloid cell	NDC80	Down
TTC37	1.10957975487313e-12	-0.639881399609388	0.121	0.195	1.99879697042846e-08	Myeloid cell	TTC37	Down
COMMD6	1.13495793083355e-12	0.522369403934355	0.501	0.426	2.04451321660355e-08	Myeloid cell	COMMD6	Up
MED4	1.17653278160608e-12	-0.570375967233213	0.184	0.27	2.1194061527852e-08	Myeloid cell	MED4	Down
TOP1	1.208033024771e-12	-0.587674274721681	0.176	0.258	2.17615069082249e-08	Myeloid cell	TOP1	Down
TPP1	1.20871775991007e-12	0.765261527056702	0.233	0.147	2.177384172702e-08	Myeloid cell	TPP1	Up
PPP1R18	1.21483577195311e-12	1.4047885672647	0.105	0.043	2.18840515959633e-08	Myeloid cell	PPP1R18	Up
SNRPD3	1.23221993698091e-12	-0.5448772791984	0.181	0.267	2.21972099447742e-08	Myeloid cell	SNRPD3	Down
PPM1G	1.23269556447198e-12	-0.569722720656107	0.193	0.279	2.22057778983982e-08	Myeloid cell	PPM1G	Down
BAZ2A	1.27543372197079e-12	1.05484409263497	0.155	0.082	2.29756630675819e-08	Myeloid cell	BAZ2A	Up
GPSM2	1.30988519045795e-12	-1.75640048673693	0.013	0.042	2.35962718209094e-08	Myeloid cell	GPSM2	Down
CD4	1.35198973850177e-12	1.22237262163919	0.11	0.047	2.43547431493708e-08	Myeloid cell	CD4	Up
UBE2L3	1.36183911520069e-12	-0.403079624351515	0.304	0.408	2.45321698212253e-08	Myeloid cell	UBE2L3	Down
PCF11	1.48018455297949e-12	1.06002866614317	0.156	0.083	2.66640445373725e-08	Myeloid cell	PCF11	Up
FKBP3	1.5263229891986e-12	-0.56962610991877	0.196	0.283	2.74951823274235e-08	Myeloid cell	FKBP3	Down
C8orf33	1.61796710105324e-12	-0.988650985618061	0.05	0.101	2.91460593583731e-08	Myeloid cell	C8orf33	Down
EEF2	1.8261918948957e-12	0.348435899763843	0.738	0.701	3.28970207946512e-08	Myeloid cell	EEF2	Up
TIPIN	1.83975371176173e-12	-1.58515276122571	0.02	0.053	3.31413233636758e-08	Myeloid cell	TIPIN	Down
IFT20	1.87239060799005e-12	-0.639807092058085	0.127	0.201	3.37292444123327e-08	Myeloid cell	IFT20	Down
FRY	2.0564767368286e-12	-0.94383727367656	0.055	0.107	3.70453719372303e-08	Myeloid cell	FRY	Down
SMU1	2.05991859798155e-12	-0.555280863691019	0.176	0.26	3.71073736240396e-08	Myeloid cell	SMU1	Down
SLC2A3	2.08945491474928e-12	-0.534897068982106	0.165	0.245	3.76394408342936e-08	Myeloid cell	SLC2A3	Down
E2F7	2.09775403028049e-12	-2.39765775089922	0.005	0.025	3.77889411014728e-08	Myeloid cell	E2F7	Down
PIM1	2.12614505350177e-12	-0.917755032595049	0.06	0.115	3.8300376993781e-08	Myeloid cell	PIM1	Down
SRSF10	2.15079761168097e-12	-0.434540030333408	0.227	0.322	3.87444681768209e-08	Myeloid cell	SRSF10	Down
CAT	2.15949651615982e-12	0.781545887166968	0.398	0.324	3.89011702421031e-08	Myeloid cell	CAT	Up
PARP1	2.19241506039857e-12	-0.678346021296889	0.127	0.2	3.94941648980198e-08	Myeloid cell	PARP1	Down
SLC25A3	2.24107360545101e-12	-0.441908113963435	0.287	0.385	4.03706999285945e-08	Myeloid cell	SLC25A3	Down
KTN1	2.25970046477135e-12	-0.364822322723321	0.296	0.4	4.07062441723911e-08	Myeloid cell	KTN1	Down
PLK4	2.32521404260279e-12	-1.38985283377811	0.018	0.051	4.18864057634467e-08	Myeloid cell	PLK4	Down
MCM10	2.48409643487559e-12	-1.45635970694156	0.018	0.051	4.47485131778488e-08	Myeloid cell	MCM10	Down
PGM2	2.59258534471037e-12	-0.835919310865684	0.081	0.142	4.67028323996126e-08	Myeloid cell	PGM2	Down
ZMYM2	2.61099630918695e-12	1.08394245558865	0.145	0.075	4.70344875136937e-08	Myeloid cell	ZMYM2	Up
CNBP	2.64814112463703e-12	0.505562263049112	0.525	0.454	4.77036142192115e-08	Myeloid cell	CNBP	Up
CDKN1B	2.67745941067303e-12	1.04350177827814	0.161	0.089	4.8231753823864e-08	Myeloid cell	CDKN1B	Up
C2	2.69715389033297e-12	4.88507969242517	0.036	0.001	4.85865301804582e-08	Myeloid cell	C2	Up
RAB9A	2.71867938494363e-12	1.51630311188282	0.077	0.025	4.89742904403746e-08	Myeloid cell	RAB9A	Up
RNU5A-1	2.73545337102961e-12	2.18435249893374	0.06	0.014	4.92764570257275e-08	Myeloid cell	RNU5A-1	Up
TNFSF10	2.76066298757536e-12	1.0145285088719	0.209	0.129	4.97305830581825e-08	Myeloid cell	TNFSF10	Up
EP400NL	2.86072365449521e-12	-0.485922290773227	0.17	0.255	5.15330759120767e-08	Myeloid cell	EP400NL	Down
SEC11C	2.88837115594839e-12	-0.713224345535144	0.101	0.168	5.20311180032544e-08	Myeloid cell	SEC11C	Down
SRP9	2.95603233147908e-12	-0.452066293396729	0.262	0.357	5.32499664192642e-08	Myeloid cell	SRP9	Down
SCUBE1	3.22504462846525e-12	5.69157201652531	0.034	0	5.80959539371731e-08	Myeloid cell	SCUBE1	Up
RFC5	3.23396259615447e-12	-1.34643242754405	0.02	0.053	5.82566022071266e-08	Myeloid cell	RFC5	Down
FLT3	3.29992740284933e-12	0.782401340530429	0.29	0.203	5.94448922349277e-08	Myeloid cell	FLT3	Up
CDC42EP3	3.32065872593274e-12	0.92455973746962	0.246	0.165	5.98183462889523e-08	Myeloid cell	CDC42EP3	Up
RNF19A	3.82350978398071e-12	1.14869374719661	0.14	0.071	6.88767052486285e-08	Myeloid cell	RNF19A	Up
RFC1	4.04322951436032e-12	-0.614424553173808	0.112	0.182	7.28347364716868e-08	Myeloid cell	RFC1	Down
CCDC18-AS1	4.05861091889559e-12	2.25198520928488	0.054	0.011	7.31118170929852e-08	Myeloid cell	CCDC18-AS1	Up
ZMPSTE24	4.20805842574396e-12	-0.910515072455516	0.078	0.137	7.58039644813517e-08	Myeloid cell	ZMPSTE24	Down
SVIL	4.25491444512087e-12	-1.07121115417427	0.055	0.105	7.66480288144074e-08	Myeloid cell	SVIL	Down
TPRKB	4.48419935760132e-12	-0.641268193302903	0.118	0.19	8.07783672278302e-08	Myeloid cell	TPRKB	Down
PDIA6	4.77291213967457e-12	-0.4906772032976	0.233	0.323	8.59792392840977e-08	Myeloid cell	PDIA6	Down
SKA3	4.8912782618183e-12	-1.1814651458977	0.028	0.067	8.81114866083948e-08	Myeloid cell	SKA3	Down
CCDC47	4.99624665352934e-12	-0.677673592927275	0.138	0.211	9.00023872166775e-08	Myeloid cell	CCDC47	Down
CDCA5	5.0188912965624e-12	-1.57690287432236	0.018	0.051	9.04103078162751e-08	Myeloid cell	CDCA5	Down
SH3KBP1	5.14444565615594e-12	-0.421779475231412	0.266	0.36	9.26720440499931e-08	Myeloid cell	SH3KBP1	Down
PDCD5	5.3116196169528e-12	-0.625379282785446	0.109	0.178	9.56835157797877e-08	Myeloid cell	PDCD5	Down
HOXB5	5.49334216706562e-12	5.66369298394987	0.033	0	9.89570657975201e-08	Myeloid cell	HOXB5	Up
BTG1	5.50121919338914e-12	0.590362290376694	0.462	0.376	9.9098962549712e-08	Myeloid cell	BTG1	Up
VSIG4	5.50534110202116e-12	5.97856632130328	0.033	0	9.91732146118091e-08	Myeloid cell	VSIG4	Up
UBR7	5.73499327275601e-12	-1.12177781124379	0.035	0.076	1.03310168815427e-07	Myeloid cell	UBR7	Down
CORO1C	5.80260810288672e-12	-0.775343413936356	0.1	0.165	1.04528182365401e-07	Myeloid cell	CORO1C	Down
SSR4	5.81917789066277e-12	-0.312729930458814	0.386	0.494	1.04826670522399e-07	Myeloid cell	SSR4	Down
PGM1	5.87520037980032e-12	-1.42104359404183	0.024	0.06	1.05835859641723e-07	Myeloid cell	PGM1	Down
GBP2	6.28075187231579e-12	0.879698716780694	0.124	0.058	1.13141464227897e-07	Myeloid cell	GBP2	Up
SUMO1	6.64608811930456e-12	-0.54285123256853	0.155	0.234	1.19722631381152e-07	Myeloid cell	SUMO1	Down
EIF5	6.68137014974332e-12	-0.373497716599285	0.342	0.447	1.20358201877476e-07	Myeloid cell	EIF5	Down
CHTF18	6.78885765761733e-12	-1.52750063424609	0.016	0.047	1.22294481844319e-07	Myeloid cell	CHTF18	Down
GNA12	6.79031967336618e-12	-1.42040799888908	0.021	0.055	1.22320818596018e-07	Myeloid cell	GNA12	Down
SPOCK2	6.95789827858482e-12	-2.60074961627673	0.003	0.019	1.25339579590427e-07	Myeloid cell	SPOCK2	Down
ILF3	7.09585126832515e-12	-0.408645379967995	0.251	0.345	1.27824664747609e-07	Myeloid cell	ILF3	Down
AP1S2	7.16284017617339e-12	-0.487528372797163	0.322	0.413	1.29031402933587e-07	Myeloid cell	AP1S2	Down
RBL1	7.50997922593874e-12	-0.997314455484096	0.059	0.111	1.3528476577606e-07	Myeloid cell	RBL1	Down
MSH6	7.5150839568245e-12	-0.843002459974023	0.072	0.129	1.35376722398236e-07	Myeloid cell	MSH6	Down
CX3CR1	7.76795074522056e-12	2.01150457611216	0.072	0.022	1.39931864724403e-07	Myeloid cell	CX3CR1	Up
ITPRIP	7.97643969925331e-12	-0.857089369536517	0.054	0.104	1.43687584742349e-07	Myeloid cell	ITPRIP	Down
MTHFD1	8.02404825471273e-12	-1.21632010292828	0.036	0.078	1.44545205260395e-07	Myeloid cell	MTHFD1	Down
CENPP	8.19191366987632e-12	-1.41006605466762	0.016	0.046	1.47569132849152e-07	Myeloid cell	CENPP	Down
ALOX15B	8.32663152010674e-12	-1.89025623347172	0.006	0.027	1.49995940203203e-07	Myeloid cell	ALOX15B	Down
HIST1H2BK	8.54953632013898e-12	1.44968510523902	0.101	0.043	1.54011347270984e-07	Myeloid cell	HIST1H2BK	Up
KIAA0930	8.7029512585354e-12	-0.800058424500139	0.077	0.136	1.56774963971257e-07	Myeloid cell	KIAA0930	Down
CARD19	9.06879085474446e-12	0.988829512514795	0.166	0.094	1.63365198457367e-07	Myeloid cell	CARD19	Up
CELF1	9.17712052854502e-12	0.987198801427964	0.185	0.11	1.6531664920121e-07	Myeloid cell	CELF1	Up
CYTH4	9.27531277408341e-12	1.74206584508445	0.07	0.022	1.67085484312339e-07	Myeloid cell	CYTH4	Up
TPCN1	9.39384063394597e-12	-1.33375719687425	0.023	0.058	1.69220645179903e-07	Myeloid cell	TPCN1	Down
RBM47	9.61135183996328e-12	-0.850538601322736	0.099	0.162	1.73138892045098e-07	Myeloid cell	RBM47	Down
POLR2B	1.05098478053305e-11	-0.640969975859587	0.139	0.212	1.89324398365224e-07	Myeloid cell	POLR2B	Down
ANAPC11	1.09008241421921e-11	-0.42379049538587	0.252	0.342	1.96367446097449e-07	Myeloid cell	ANAPC11	Down
KDELC2	1.14972541584326e-11	-1.08464897370038	0.034	0.074	2.07111536410004e-07	Myeloid cell	KDELC2	Down
ZMAT2	1.17799566282885e-11	-0.652689831691808	0.114	0.182	2.1220413870199e-07	Myeloid cell	ZMAT2	Down
ATP5G1	1.22262799594598e-11	-0.588365891820899	0.142	0.216	2.20244207189709e-07	Myeloid cell	ATP5G1	Down
ATP1B3	1.25902376174034e-11	-0.69938306713985	0.113	0.181	2.26800540439906e-07	Myeloid cell	ATP1B3	Down
CDKN1A	1.26339511669613e-11	1.03483895751439	0.143	0.076	2.27587996321641e-07	Myeloid cell	CDKN1A	Up
PCED1B	1.27699403243947e-11	-2.09595746423956	0.006	0.026	2.30037705003646e-07	Myeloid cell	PCED1B	Down
CDKN2A	1.28557036529664e-11	3.59892272855963	0.038	0.003	2.31582645604537e-07	Myeloid cell	CDKN2A	Up
CEP152	1.29218892423776e-11	-0.950433377561476	0.059	0.11	2.3277491281219e-07	Myeloid cell	CEP152	Down
RELL1	1.29835662496388e-11	-0.663444057925263	0.101	0.166	2.33885962420993e-07	Myeloid cell	RELL1	Down
SYTL3	1.4051747281401e-11	-1.49953736491843	0.018	0.05	2.53128175527158e-07	Myeloid cell	SYTL3	Down
EZH2	1.46155447332366e-11	-0.719896881569737	0.083	0.144	2.63284422824524e-07	Myeloid cell	EZH2	Down
RAB24	1.50106229759967e-11	1.12075171739219	0.127	0.063	2.70401362289605e-07	Myeloid cell	RAB24	Up
RHNO1	1.51957973255696e-11	-1.25239339611172	0.032	0.071	2.73737093022811e-07	Myeloid cell	RHNO1	Down
TMEM258	1.59141815155785e-11	-0.446477879145905	0.227	0.315	2.86678065821631e-07	Myeloid cell	TMEM258	Down
NFIC	1.59576883299811e-11	-0.726039426417363	0.099	0.162	2.8746179757628e-07	Myeloid cell	NFIC	Down
MBNL1-AS1	1.59774936074575e-11	1.64132517092142	0.073	0.024	2.87818569844739e-07	Myeloid cell	MBNL1-AS1	Up
ZSCAN16-AS1	1.60847462677506e-11	-0.728905967767413	0.078	0.136	2.8975061926726e-07	Myeloid cell	ZSCAN16-AS1	Down
EIF3A	1.63015416759739e-11	-0.350573162329584	0.421	0.522	2.93655971750994e-07	Myeloid cell	EIF3A	Down
LINC01268	1.65263301154373e-11	4.00658069747288	0.036	0.002	2.97705310699488e-07	Myeloid cell	LINC01268	Up
MCM5	1.66610908555531e-11	-0.996525213394943	0.059	0.11	3.00132890671933e-07	Myeloid cell	MCM5	Down
CCS	1.71739419622417e-11	1.95874219692831	0.059	0.015	3.09371390507821e-07	Myeloid cell	CCS	Up
ZCCHC6	1.80000322246332e-11	0.778580789655553	0.217	0.138	3.24252580494542e-07	Myeloid cell	ZCCHC6	Up
CBWD5	1.97885798003697e-11	-0.512412149330681	0.158	0.235	3.5647147652386e-07	Myeloid cell	CBWD5	Down
C6orf48	1.98500159866916e-11	0.718791885773753	0.288	0.205	3.57578187984262e-07	Myeloid cell	C6orf48	Up
CHD2	2.05253512743713e-11	0.857774075936082	0.24	0.161	3.69743677856524e-07	Myeloid cell	CHD2	Up
MEX3B	2.14071391954879e-11	-2.36725948605695	0.004	0.022	3.8562820546752e-07	Myeloid cell	MEX3B	Down
CR1	2.14431233760226e-11	1.08208294875793	0.134	0.069	3.86276424495671e-07	Myeloid cell	CR1	Up
IRAK3	2.17629580840232e-11	-0.372745470852393	0.36	0.457	3.92037926925594e-07	Myeloid cell	IRAK3	Down
LRRCC1	2.23213445589226e-11	-1.15571737670005	0.031	0.069	4.02096700884432e-07	Myeloid cell	LRRCC1	Down
HOXB2	2.47109412152301e-11	3.89110348005294	0.036	0.002	4.45142895051155e-07	Myeloid cell	HOXB2	Up
BRCA2	2.61417792609384e-11	-0.74716485118649	0.118	0.185	4.70918011606544e-07	Myeloid cell	BRCA2	Down
FOXN3	2.75800211114282e-11	-0.485409752600022	0.153	0.23	4.96826500301268e-07	Myeloid cell	FOXN3	Down
ANAPC15	2.9227596738475e-11	-1.15329063930551	0.033	0.072	5.26505927646888e-07	Myeloid cell	ANAPC15	Down
MCTP2	2.95574566137689e-11	2.16301603723319	0.049	0.009	5.32448023440433e-07	Myeloid cell	MCTP2	Up
ASAP1	3.07396527437538e-11	-0.573592201843582	0.148	0.223	5.53744104525982e-07	Myeloid cell	ASAP1	Down
SGPP2	3.2048472187187e-11	-0.956144169128173	0.05	0.097	5.77321177979987e-07	Myeloid cell	SGPP2	Down
SLC5A3	3.30058471401627e-11	1.34396244476675	0.087	0.034	5.9456733038289e-07	Myeloid cell	SLC5A3	Up
FKBP14	3.32858002439804e-11	-1.58085005883903	0.011	0.036	5.99610405595063e-07	Myeloid cell	FKBP14	Down
NCF4	3.35088197944016e-11	1.03175846871222	0.122	0.06	6.0362787977635e-07	Myeloid cell	NCF4	Up
SKIL	3.35740799566711e-11	-0.766615363103527	0.074	0.13	6.04803476339473e-07	Myeloid cell	SKIL	Down
CHAF1A	3.3608894405944e-11	-1.06428563324677	0.036	0.077	6.05430623828676e-07	Myeloid cell	CHAF1A	Down
RPS26P11	3.40417542013123e-11	-0.96732562659893	0.057	0.106	6.13228160182439e-07	Myeloid cell	RPS26P11	Down
SKA1	3.60754002351323e-11	-1.8689457272263	0.01	0.034	6.49862259835674e-07	Myeloid cell	SKA1	Down
CD52	3.6967909893627e-11	0.675098591536094	0.41	0.331	6.65939928823798e-07	Myeloid cell	CD52	Up
CD99	3.69730995693031e-11	0.684652602585517	0.336	0.253	6.66033415641427e-07	Myeloid cell	CD99	Up
FAM217B	3.75805224444582e-11	-1.17373947533181	0.036	0.076	6.76975531314469e-07	Myeloid cell	FAM217B	Down
IL18	3.77449165594297e-11	1.0592786995453	0.127	0.064	6.79936926901566e-07	Myeloid cell	IL18	Up
ZWILCH	3.80462683006065e-11	-1.18755346382205	0.026	0.061	6.85365477167125e-07	Myeloid cell	ZWILCH	Down
C16orf54	3.82039192504639e-11	-0.579688000748902	0.117	0.185	6.88205401377856e-07	Myeloid cell	C16orf54	Down
HCK	3.8373947856216e-11	0.795101660175589	0.218	0.141	6.91268296681875e-07	Myeloid cell	HCK	Up
HOXA3	3.86377917423726e-11	4.80439184685961	0.032	0.001	6.96021180447101e-07	Myeloid cell	HOXA3	Up
SLC2A4	4.05136986157357e-11	-0.529472202767331	0.038	0.079	7.29813766863863e-07	Myeloid cell	SLC2A4	Down
DST	4.0723479463043e-11	-0.657057057178685	0.058	0.108	7.33592759047257e-07	Myeloid cell	DST	Down
ADI1	4.12684067594501e-11	-0.543769200811164	0.131	0.202	7.43409079364734e-07	Myeloid cell	ADI1	Down
MIR22HG	4.44664332851691e-11	-0.684243931791491	0.108	0.173	8.01018329199037e-07	Myeloid cell	MIR22HG	Down
PPP1R15B	4.73250826085430e-11	0.911185453149444	0.186	0.114	8.52514038110294e-07	Myeloid cell	PPP1R15B	Up
MYCBP2	4.93068811162711e-11	-0.410399664344421	0.303	0.397	8.88214156428508e-07	Myeloid cell	MYCBP2	Down
SMARCC1	5.1029045980678e-11	-0.463594948783094	0.202	0.284	9.19237234295934e-07	Myeloid cell	SMARCC1	Down
HSPA1B	5.15565206097517e-11	3.0503020749022	0.042	0.006	9.28739162264067e-07	Myeloid cell	HSPA1B	Up
TTK	5.2634773910977e-11	-1.25814795312462	0.024	0.058	9.48162817232339e-07	Myeloid cell	TTK	Down
SUMO2	5.70975345861494e-11	-0.36493246963975	0.364	0.469	1.0285549880349e-06	Myeloid cell	SUMO2	Down
RMI2	6.01591276147485e-11	-1.97831241013691	0.007	0.027	1.08370652485208e-06	Myeloid cell	RMI2	Down
LSM7	6.2827463850069e-11	-0.469238498439648	0.242	0.327	1.13177393379514e-06	Myeloid cell	LSM7	Down
TNNI2	6.41832789697641e-11	1.95383923540091	0.056	0.014	1.15619758736133e-06	Myeloid cell	TNNI2	Up
IFNGR1	6.54617377082178e-11	-0.293992541461786	0.347	0.451	1.17922774307584e-06	Myeloid cell	IFNGR1	Down
SMG1	6.71187958558939e-11	0.575671096458352	0.362	0.28	1.20907798854807e-06	Myeloid cell	SMG1	Up
SNCA	6.92064224459483e-11	-1.46239469383529	0.018	0.048	1.24668449394131e-06	Myeloid cell	SNCA	Down
LEF1	7.26828176357907e-11	-3.08617644344697	0.001	0.012	1.30930827689113e-06	Myeloid cell	LEF1	Down
PRDX4	7.39613204401682e-11	-1.00546982457006	0.063	0.113	1.33233922640919e-06	Myeloid cell	PRDX4	Down
NACA2	7.42952081347087e-11	-0.360788845342264	0.247	0.34	1.33835387933864e-06	Myeloid cell	NACA2	Down
LINC-PINT	7.83580758660384e-11	1.65497325792081	0.063	0.019	1.41154237865082e-06	Myeloid cell	LINC-PINT	Up
DHRS9	8.08747798954068e-11	1.55932759920923	0.08	0.03	1.45687828503586e-06	Myeloid cell	DHRS9	Up
ADGRE2	8.33714758690944e-11	1.6491747072308	0.067	0.022	1.50185376630587e-06	Myeloid cell	ADGRE2	Up
CD59	8.51609748963935e-11	-1.14430185607825	0.023	0.056	1.53408980178363e-06	Myeloid cell	CD59	Down
SERTAD2	8.69558024380217e-11	0.946598592644647	0.14	0.076	1.56642182511852e-06	Myeloid cell	SERTAD2	Up
DPEP2	8.84232524755798e-11	2.03483895751439	0.054	0.013	1.59285647009509e-06	Myeloid cell	DPEP2	Up
SLC25A5	8.88330137317275e-11	-0.34930018300883	0.356	0.456	1.60023790936334e-06	Myeloid cell	SLC25A5	Down
PIWIL4	9.01177829554671e-11	1.45065356160109	0.091	0.038	1.62338174215978e-06	Myeloid cell	PIWIL4	Up
CD300E	9.78101556582525e-11	1.16507573237162	0.085	0.034	1.76195214402776e-06	Myeloid cell	CD300E	Up
GTF2A1	9.81733020968841e-11	-0.7831263587653	0.06	0.11	1.76849386397327e-06	Myeloid cell	GTF2A1	Down
BRIX1	9.8192442603144e-11	-0.992703502442534	0.048	0.092	1.76883866105304e-06	Myeloid cell	BRIX1	Down
ATP5G3	1.06753554922755e-10	-0.377671192141365	0.307	0.398	1.9230585383785e-06	Myeloid cell	ATP5G3	Down
N4BP2	1.11846707731023e-10	-0.775506119825704	0.078	0.133	2.01480659306664e-06	Myeloid cell	N4BP2	Down
NEGR1	1.13077116803373e-10	-0.827927100178557	0.046	0.091	2.03697118209597e-06	Myeloid cell	NEGR1	Down
MS4A14	1.13249152427864e-10	3.23214039788801	0.038	0.004	2.04007023183554e-06	Myeloid cell	MS4A14	Up
LOC100288203	1.15434741562997e-10	0.935128103944941	0.158	0.091	2.07944143451583e-06	Myeloid cell	LOC100288203	Up
NOP14	1.17927067113469e-10	-0.794479835331505	0.064	0.115	2.12433818698202e-06	Myeloid cell	NOP14	Down
RECQL	1.18207765514273e-10	-0.73332377536471	0.087	0.145	2.12939468797411e-06	Myeloid cell	RECQL	Down
HSPA1A	1.25361911197466e-10	2.4056766528827	0.047	0.009	2.25826946831114e-06	Myeloid cell	HSPA1A	Up
ORC6	1.2706321594115e-10	-1.05578518348749	0.034	0.072	2.28891677196387e-06	Myeloid cell	ORC6	Down
WDR12	1.29277232598912e-10	-0.865646766127715	0.051	0.097	2.32880006803679e-06	Myeloid cell	WDR12	Down
ENY2	1.30329849753689e-10	-0.395975214076816	0.308	0.399	2.34776191346296e-06	Myeloid cell	ENY2	Down
LAMP1	1.33919547611456e-10	0.952504024717086	0.133	0.071	2.41242673067278e-06	Myeloid cell	LAMP1	Up
FH	1.35530120388504e-10	-0.959373806650309	0.054	0.101	2.44143958867851e-06	Myeloid cell	FH	Down
PPP1R14B	1.39595708470433e-10	-1.20220023978646	0.029	0.064	2.51467709238638e-06	Myeloid cell	PPP1R14B	Down
BMI1	1.40210426717602e-10	1.51241373530496	0.083	0.033	2.52575062689089e-06	Myeloid cell	BMI1	Up
PHACTR1	1.51323138719161e-10	-0.993760809225577	0.039	0.079	2.72593502088697e-06	Myeloid cell	PHACTR1	Down
DUSP4	1.54085342223275e-10	-2.65321703617087	0.002	0.016	2.77569335481007e-06	Myeloid cell	DUSP4	Down
FAM98B	1.5837733909694e-10	-0.811428617049389	0.071	0.123	2.85300938649229e-06	Myeloid cell	FAM98B	Down
SRPK1	1.58418855223853e-10	-0.737654138547898	0.095	0.155	2.85375725800248e-06	Myeloid cell	SRPK1	Down
RPL39L	1.59055158687332e-10	-0.972575048734276	0.051	0.096	2.8652196285936e-06	Myeloid cell	RPL39L	Down
NREP	1.61065323160515e-10	-0.543065879404097	0.123	0.189	2.90143073141352e-06	Myeloid cell	NREP	Down
CHD1	1.61787606477568e-10	-0.343295835375202	0.283	0.377	2.91444194308691e-06	Myeloid cell	CHD1	Down
FBXO34	1.621997280306e-10	-1.0085555463245	0.059	0.107	2.92186590074322e-06	Myeloid cell	FBXO34	Down
RSBN1	1.62443889132667e-10	1.01894191455942	0.124	0.063	2.92626421883586e-06	Myeloid cell	RSBN1	Up
GZMA	1.63808374369159e-10	-2.33771521044294	0.004	0.021	2.95084405588604e-06	Myeloid cell	GZMA	Down
IMMT	1.67698072829159e-10	-0.605461743626052	0.13	0.197	3.02091308394448e-06	Myeloid cell	IMMT	Down
ITPR3	1.68923287276509e-10	-3.01578711555557	0.002	0.014	3.04298409699904e-06	Myeloid cell	ITPR3	Down
NDUFB6	1.69181499660945e-10	-0.475953990324079	0.138	0.209	3.04763553489226e-06	Myeloid cell	NDUFB6	Down
HLA-C	1.71061728313416e-10	0.377623258064009	0.647	0.6	3.08150597383787e-06	Myeloid cell	HLA-C	Up
LMBRD1	1.71073154430317e-10	1.26536384142754	0.087	0.036	3.08171180390772e-06	Myeloid cell	LMBRD1	Up
NUS1	1.71875355576878e-10	-0.653487837680979	0.104	0.165	3.09616265536189e-06	Myeloid cell	NUS1	Down
ZNF217	1.73059232616528e-10	1.03017873839661	0.147	0.083	3.11748901635413e-06	Myeloid cell	ZNF217	Up
PCMT1	1.74362105404735e-10	-0.521511356959045	0.179	0.255	3.1409589667609e-06	Myeloid cell	PCMT1	Down
SLC25A36	1.75131542315995e-10	0.785715080256591	0.207	0.134	3.15481960328033e-06	Myeloid cell	SLC25A36	Up
CLEC4D	1.75981757539264e-10	-1.34524888312835	0.028	0.063	3.1701353803123e-06	Myeloid cell	CLEC4D	Down
NUP210	1.78191141603997e-10	-0.832340974459644	0.082	0.137	3.20993522485439e-06	Myeloid cell	NUP210	Down
MYBL2	1.90721473123263e-10	-1.55635549691828	0.011	0.034	3.43565661684247e-06	Myeloid cell	MYBL2	Down
THEMIS2	1.91640089205407e-10	-0.492065560511632	0.157	0.23	3.45220456694621e-06	Myeloid cell	THEMIS2	Down
GAS5	1.92894963060416e-10	0.643315552990473	0.392	0.32	3.47480986457033e-06	Myeloid cell	GAS5	Up
CNST	1.93133241020831e-10	0.956312568838661	0.131	0.069	3.47910220374925e-06	Myeloid cell	CNST	Up
SPATA13	1.96967426351396e-10	-0.829132475455562	0.059	0.108	3.54817121829405e-06	Myeloid cell	SPATA13	Down
MYLIP	1.9874911730264e-10	1.28709522364124	0.084	0.034	3.58026659908976e-06	Myeloid cell	MYLIP	Up
LBR	2.02007312571295e-10	-0.40204823841424	0.263	0.35	3.63895972865932e-06	Myeloid cell	LBR	Down
IER3	2.02817310412461e-10	-0.483241863629425	0.122	0.189	3.65355102977007e-06	Myeloid cell	IER3	Down
ATP6V0C	2.11669923796912e-10	0.83530617890765	0.185	0.115	3.81302200727758e-06	Myeloid cell	ATP6V0C	Up
ADAM19	2.12110767171205e-10	-1.91390750153636	0.007	0.026	3.82096335982208e-06	Myeloid cell	ADAM19	Down
POMP	2.14346290330252e-10	-0.431494545211393	0.276	0.361	3.86123407400915e-06	Myeloid cell	POMP	Down
CCDC152	2.22031529049359e-10	-1.43899854628012	0.012	0.037	3.99967596429515e-06	Myeloid cell	CCDC152	Down
PRLR	2.26547356060125e-10	-0.807129719624548	0.059	0.108	4.08102407206709e-06	Myeloid cell	PRLR	Down
